id,renta_id,fecha_inicio,fecha_fin,precio
1,1,2024-04-24,2024-09-09,30255
2,1,2024-09-10,2024-12-13,30539
3,2,2025-09-05,2025-12-14,19881
4,3,2023-01-17,2023-06-10,19638
5,3,2023-06-11,2023-10-27,20231
6,3,2023-10-28,2024-03-01,18928
7,4,2024-06-24,2024-11-19,5745
8,5,2025-05-30,2025-08-03,13384
9,5,2025-08-04,2025-11-03,15035
10,6,2024-11-09,2025-04-20,11422
11,7,2024-03-31,2024-08-27,10711
12,7,2024-08-28,2024-11-30,12356
13,8,2025-03-16,2025-06-20,23415
14,8,2025-06-21,2025-11-16,29694
15,9,2023-09-01,2024-02-27,5238
16,9,2024-02-28,2024-07-16,6628
17,9,2024-07-17,2024-12-05,5519
18,10,2025-06-22,2025-10-17,17117
19,11,2023-02-08,2023-06-17,20005
20,11,2023-06-18,2023-11-10,20638
21,12,2023-01-12,2023-04-17,19149
22,12,2023-04-18,2023-10-09,17184
23,13,2024-06-05,2024-09-18,24185
24,13,2024-09-19,2025-03-02,28918
25,14,2023-05-14,2023-09-15,14683
26,15,2023-06-12,2023-12-02,19826
27,15,2023-12-03,2024-03-11,17847
28,16,2025-02-13,2025-05-22,19424
29,17,2023-08-18,2023-12-13,10227
30,18,2022-11-24,2023-05-09,13691
31,19,2025-07-14,2026-01-06,21889
32,19,2026-01-07,2026-04-15,27473
33,20,2025-04-26,2025-07-16,12957
34,20,2025-07-17,2025-12-11,12239
35,20,2025-12-12,2026-05-18,13138
36,21,2024-10-15,2025-02-20,11663
37,22,2024-01-05,2024-03-25,6436
38,22,2024-03-26,2024-06-28,5356
39,23,2024-02-15,2024-07-22,15041
40,23,2024-07-23,2024-10-19,12668
41,23,2024-10-20,2025-01-06,9691
42,24,2024-04-05,2024-08-11,22885
43,25,2025-01-07,2025-07-05,20896
44,25,2025-07-06,2025-12-11,23963
45,26,2023-01-27,2023-06-01,14392
46,27,2024-01-10,2024-03-19,19034
47,27,2024-03-20,2024-07-06,16051
48,27,2024-07-07,2024-09-28,13217
49,28,2023-04-05,2023-08-08,9092
50,29,2024-06-25,2024-10-22,27190
51,29,2024-10-23,2025-01-30,30261
52,29,2025-01-31,2025-04-07,36523
53,30,2024-03-29,2024-08-22,15192
54,31,2025-10-08,2026-01-04,22536
55,31,2026-01-05,2026-05-22,17560
56,32,2023-07-21,2024-01-13,9459
57,32,2024-01-14,2024-06-22,12212
58,33,2024-10-27,2025-02-20,19303
59,33,2025-02-21,2025-08-06,23188
60,33,2025-08-07,2025-10-19,28694
61,34,2025-05-16,2025-07-19,9083
62,34,2025-07-20,2025-11-10,11026
63,34,2025-11-11,2026-02-17,14036
64,35,2023-01-01,2023-04-07,16001
65,35,2023-04-08,2023-07-04,13490
66,36,2025-08-02,2025-11-26,14872
67,36,2025-11-27,2026-04-11,13290
68,37,2025-05-03,2025-10-29,7843
69,38,2022-12-01,2023-02-23,16715
70,38,2023-02-24,2023-05-24,21079
71,39,2025-02-14,2025-05-26,4032
72,39,2025-05-27,2025-11-08,3675
73,39,2025-11-09,2026-04-21,4679
74,40,2024-03-30,2024-08-12,13935
75,41,2025-09-08,2026-01-31,17384
76,41,2026-02-01,2026-07-27,20482
77,42,2025-06-14,2025-09-25,16088
78,43,2023-04-07,2023-08-07,21524
79,43,2023-08-08,2023-12-29,23181
80,44,2023-10-06,2024-02-10,13746
81,45,2023-03-17,2023-06-27,11754
82,45,2023-06-28,2023-11-07,10394
83,45,2023-11-08,2024-03-04,7815
84,46,2025-06-25,2025-12-18,8482
85,47,2024-08-07,2024-11-30,20288
86,47,2024-12-01,2025-02-21,20513
87,47,2025-02-22,2025-06-27,18229
88,48,2025-06-13,2025-09-24,21908
89,48,2025-09-25,2026-02-27,24415
90,49,2024-02-04,2024-04-08,17537
91,49,2024-04-09,2024-07-15,20004
92,49,2024-07-16,2024-10-24,25805
93,50,2025-08-01,2025-12-13,15109
94,50,2025-12-14,2026-03-22,14679
95,51,2023-08-11,2023-10-23,6667
96,52,2023-06-25,2023-10-16,13023
97,53,2022-11-16,2023-04-21,13224
98,53,2023-04-22,2023-09-11,11576
99,54,2023-10-21,2024-04-16,27188
100,55,2025-08-30,2026-02-25,6689
101,55,2026-02-26,2026-08-02,4807
102,55,2026-08-03,2026-10-07,4174
103,56,2023-06-28,2023-10-16,8072
104,56,2023-10-17,2024-04-10,7971
105,56,2024-04-11,2024-07-16,7626
106,57,2022-12-18,2023-05-05,21110
107,57,2023-05-06,2023-08-15,15198
108,57,2023-08-16,2023-10-31,14874
109,58,2025-03-25,2025-08-22,9432
110,59,2023-10-12,2024-03-24,7772
111,59,2024-03-25,2024-07-05,7605
112,60,2024-04-19,2024-08-25,14288
113,60,2024-08-26,2025-01-31,11309
114,60,2025-02-01,2025-07-31,12216
115,61,2024-11-06,2025-01-28,28033
116,62,2025-03-10,2025-07-06,6771
117,62,2025-07-07,2025-10-01,5662
118,62,2025-10-02,2026-01-06,6117
119,63,2024-05-11,2024-09-12,10049
120,64,2025-08-04,2025-10-20,12727
121,64,2025-10-21,2025-12-24,9937
122,64,2025-12-25,2026-05-10,12661
123,65,2025-07-18,2025-12-17,6234
124,65,2025-12-18,2026-03-24,7051
125,65,2026-03-25,2026-06-08,8653
126,66,2023-02-15,2023-06-24,23813
127,66,2023-06-25,2023-08-27,20959
128,66,2023-08-28,2023-11-11,19502
129,67,2023-01-22,2023-03-31,7037
130,67,2023-04-01,2023-09-05,5491
131,68,2023-08-17,2023-10-22,10362
132,68,2023-10-23,2024-01-20,12423
133,69,2023-02-11,2023-07-11,11928
134,70,2023-12-27,2024-06-06,22046
135,70,2024-06-07,2024-11-24,22033
136,70,2024-11-25,2025-05-05,18585
137,71,2022-11-30,2023-04-12,10737
138,72,2023-05-12,2023-11-01,10620
139,72,2023-11-02,2024-04-10,10210
140,72,2024-04-11,2024-08-25,8859
141,73,2024-05-13,2024-07-20,9950
142,74,2023-10-01,2024-01-28,9641
143,75,2025-08-28,2025-12-10,20703
144,76,2023-10-03,2023-12-04,25574
145,76,2023-12-05,2024-05-21,20906
146,76,2024-05-22,2024-10-02,26960
147,77,2025-09-09,2026-01-17,14500
148,78,2023-03-22,2023-07-25,11228
149,79,2025-05-07,2025-09-27,5078
150,79,2025-09-28,2026-03-21,6600
151,79,2026-03-22,2026-08-07,6610
152,80,2025-09-28,2026-02-06,4490
153,81,2023-11-03,2024-04-09,10780
154,81,2024-04-10,2024-07-21,13531
155,81,2024-07-22,2024-11-14,12194
156,82,2023-07-04,2023-10-22,27436
157,82,2023-10-23,2024-01-23,28454
158,83,2024-10-28,2025-03-23,19204
159,84,2025-02-19,2025-06-04,23808
160,84,2025-06-05,2025-09-22,27015
161,84,2025-09-23,2026-03-06,28307
162,85,2025-03-20,2025-06-20,16082
163,85,2025-06-21,2025-11-10,17256
164,85,2025-11-11,2026-05-07,16487
165,86,2023-03-14,2023-07-10,17153
166,86,2023-07-11,2023-10-08,13386
167,86,2023-10-09,2024-01-09,17222
168,87,2024-10-24,2025-04-21,21931
169,87,2025-04-22,2025-09-23,27201
170,88,2024-09-08,2024-11-24,12220
171,88,2024-11-25,2025-04-15,9908
172,88,2025-04-16,2025-08-12,7690
173,89,2024-09-11,2025-01-21,6625
174,90,2024-04-27,2024-07-26,5596
175,91,2023-12-12,2024-04-18,7118
176,92,2025-08-10,2026-02-04,26339
177,92,2026-02-05,2026-08-01,29793
178,92,2026-08-02,2027-01-21,37055
179,93,2024-12-12,2025-02-11,21103
180,94,2024-08-03,2024-11-25,8636
181,94,2024-11-26,2025-03-31,9841
182,95,2024-06-15,2024-11-15,6549
183,96,2024-06-28,2024-10-03,25064
184,96,2024-10-04,2025-03-30,31981
185,96,2025-03-31,2025-07-30,29234
186,97,2023-09-09,2023-12-29,19512
187,98,2023-11-05,2024-03-21,12316
