id,edificio,habitaciones,banos,lat,lon,mascotas,tinaco,estacionamiento,activo,disponible,precio,arrendatario_id
1,Departamento,2,1,31.837439,-116.600537,False,True,1,True,True,11108,85
2,Casa,1,1,31.83654,-116.60602,False,False,1,True,False,7820,21
3,Departamento,2,1,31.8731589,-116.6139957,True,True,0,True,False,10000,5
4,Casa,2,1,31.865719,-116.661857,False,False,1,True,True,55517,3
5,Departamento,3,2,31.8643904,-116.6479655,False,True,0,True,False,46264,36
6,Casa,2,1,31.882548,-116.61842,True,True,1,True,True,12000,47
7,Casa,3,2,31.869162,-116.648261,True,False,0,True,True,26000,71
8,Casa,3,2,31.913553,-116.690677,False,False,1,True,True,28000,53
9,Departamento,3,2,31.8940291,-116.6905213,False,False,1,True,True,29000,35
10,Departamento,3,2,31.888175,-116.6793,False,True,0,True,True,38000,81
11,Departamento,2,1,31.831854,-116.230462,False,True,1,True,True,22000,11
12,Departamento,2,1,31.874783,-116.600071,True,True,0,True,True,27758,56
13,Departamento,3,1,31.8692139,-116.6500032,False,False,1,True,False,35000,23
14,Departamento,3,2,31.869468,-116.650862,False,False,1,True,False,25000,6
15,Casa,3,1,31.8711238,-116.6435709,False,False,1,True,True,36000,34
16,Departamento,3,2,31.869973,-116.652085,False,False,1,True,True,21000,85
17,Casa,3,2,31.889222,-116.680925,True,False,1,True,False,25000,24
18,Departamento,2,1,31.782522,-116.605479,False,False,1,True,False,31000,68
19,Casa,3,1,31.889222,-116.680925,False,True,0,True,True,22500,5
20,Departamento,3,2,31.9013772,-116.6963762,False,False,1,True,True,21000,43
21,Departamento,1,1,30.5579738,-115.9341652,False,False,1,True,True,8000,29
22,Casa,1,1,31.7707041,-116.5606171,True,False,0,True,True,5000,75
23,Casa,1,1,31.8884,-116.68,False,False,0,False,False,15000,38
24,Departamento,2,1,31.8259787,-116.5981635,True,True,0,True,True,15000,64
25,Casa,1,1,31.9900954,-116.6381889,False,True,0,True,True,24057,45
26,Casa,2,1,31.76793509,-116.5591572,True,False,1,True,False,10500,11
27,Departamento,1,1,31.781154024397,-116.599656368933,True,False,1,True,True,11103,77
28,Departamento,1,1,31.82216805,-116.60103561,False,False,0,True,True,10000,17
29,Departamento,3,1,31.90955791,-116.73520271,False,False,1,False,True,37011,2
30,Casa,2,1,31.8664083,-116.668692,False,False,0,True,True,29609,61
31,Departamento,1,1,31.86435412147365,-116.6561579306543,False,True,0,True,True,20000,44
32,Departamento,4,1,31.867931,-116.6632183,True,False,1,True,True,24500,65
33,Departamento,4,1,31.8242256,-116.6018998,False,False,1,True,True,46264,82
34,Casa,2,1,31.86554943,-116.66382405,False,True,1,True,False,31460,42
35,Casa,2,1,31.898561883750588,-116.69384108049545,False,False,0,True,True,20000,22
36,Casa,2,1,31.896313,-116.6996104,False,False,0,True,True,30000,52
37,Departamento,4,2,31.7858247,-116.6096395,False,True,0,True,True,35000,64
38,Casa,2,1,31.8716343,-116.6627045,True,False,0,True,True,26000,63
39,Casa,3,2,31.8891473,-116.681202,True,False,1,True,True,45000,57
40,Departamento,2,1,31.8395089,-116.6097319,True,True,0,True,True,20000,28
41,Departamento,2,1,31.8538568,-116.6125879,False,False,1,True,True,16900,19
42,Departamento,1,1,31.8498971,-116.6122676,True,False,1,True,True,12000,67
43,Casa,1,1,31.8646208,-116.663073,False,False,1,True,False,15730,62
44,Departamento,2,1,31.888859,-116.605369,True,True,0,True,False,15000,15
45,Casa,3,2,31.8532018,-116.6037426,False,False,0,True,True,18000,12
46,Casa,1,1,31.9059832,-116.7356484,True,True,1,True,True,12954,73
47,Casa,3,2,31.8298196,-116.5936674,False,True,1,True,True,37011,20
48,Casa,3,2,31.8395089,-116.6097319,False,False,0,True,False,30000,7
49,Casa,3,2,31.8892222,-116.6809248,False,False,0,True,False,50000,46
50,Casa,3,1,31.8679339,-116.6337374,True,True,0,True,True,64770,41
51,Departamento,2,1,31.8754588,-116.6369106,True,True,0,True,False,20000,72
52,Casa,2,1,31.8754588,-116.6369106,True,False,0,True,True,18000,40
53,Departamento,3,2,31.866333,-116.635698,False,True,1,True,True,64770,74
54,Casa,1,1,31.8664392,-116.635749,True,False,0,True,True,19000,13
55,Casa,1,1,31.896313,-116.6996104,True,False,1,True,True,18506,27
56,Casa,2,1,31.8754588,-116.6369106,False,False,0,True,True,16000,48
57,Departamento,1,1,31.8395089,-116.6097319,True,False,1,True,True,11000,32
58,Casa,1,1,31.8704905,-116.6744116,False,False,1,True,True,11000,59
59,Casa,3,2,31.812778,-116.58935,True,True,0,True,True,23000,37
60,Departamento,2,1,32.095628,-116.572572,True,False,1,True,True,37011,30
61,Casa,2,1,31.855536,-116.604533,False,True,1,False,True,20356,40
62,Departamento,1,1,31.881905,-116.606468,False,True,0,True,False,11000,9
63,Casa,1,1,31.881905,-116.606468,False,True,0,True,True,12000,58
64,Casa,3,2,31.88338,-116.639591,False,True,1,True,True,16000,76
65,Casa,5,1,31.854526,-116.597846,True,True,1,True,True,28000,49
66,Departamento,2,1,31.89339,-116.68907,True,True,1,True,True,20356,79
67,Departamento,4,2,32.003827778,-116.672597222,False,True,0,True,False,50890,4
68,Casa,4,2,31.819407594572,-116.59591879131,True,True,0,True,True,25000,26
69,Casa,4,1,31.81145548,-116.60520378,False,True,1,True,True,35000,79
70,Departamento,2,1,31.9031,-116.729,True,False,0,True,True,35000,1
71,Casa,3,1,31.8939,-116.694,False,True,1,True,True,29500,55
72,Departamento,5,2,31.82402704,-116.60514843,True,True,1,True,True,46000,8
73,Casa,2,1,31.388900278,-115.757641111,False,False,1,True,True,20356,69
74,Departamento,3,1,31.9009,-116.691,True,False,0,True,True,26000,60
