id,renta_id,servicio_id
1,1,2
2,1,1
3,2,1
4,2,3
5,2,2
6,2,5
7,4,3
8,4,2
9,5,2
10,5,3
11,5,5
12,5,1
13,7,1
14,7,2
15,7,3
16,8,3
17,8,2
18,9,2
19,9,1
20,9,5
21,10,3
22,11,2
23,11,3
24,12,2
25,13,1
26,14,3
27,14,5
28,14,1
29,15,1
30,16,1
31,16,5
32,16,2
33,16,3
34,17,2
35,17,5
36,17,1
37,17,3
38,18,3
39,18,1
40,18,2
41,19,2
42,19,1
43,19,5
44,19,3
45,20,1
46,20,3
47,20,5
48,21,2
49,21,5
50,21,3
51,21,1
52,23,5
53,23,1
54,23,2
55,23,3
56,24,1
57,25,5
58,25,1
59,25,2
60,25,3
61,26,5
62,28,3
63,28,1
64,28,2
65,28,5
66,29,1
67,29,3
68,29,5
69,29,2
70,31,1
71,31,5
72,32,3
73,32,1
74,33,3
75,34,1
76,34,5
77,34,3
78,34,2
79,37,5
80,39,5
81,40,1
82,40,5
83,41,2
84,41,5
85,41,1
86,41,3
87,43,2
88,44,5
89,44,3
90,44,1
91,44,2
92,45,2
93,45,5
94,46,1
95,46,3
96,46,5
97,47,1
98,48,1
99,49,1
100,49,5
101,49,3
102,50,5
103,50,3
104,50,1
105,50,2
106,51,1
107,51,5
108,52,1
109,53,5
110,53,3
111,53,2
112,53,1
113,54,5
114,55,5
115,55,3
116,55,2
117,55,1
118,56,3
119,56,1
120,56,2
121,57,3
122,58,2
123,58,5
124,58,1
125,59,3
126,59,2
127,59,1
128,59,5
129,61,2
130,62,2
131,62,1
132,62,3
133,63,3
134,64,2
135,65,3
136,65,1
137,67,2
138,67,5
139,67,1
140,67,3
141,69,3
142,69,5
143,69,2
144,69,1
145,70,2
146,70,3
147,70,1
148,71,1
149,71,5
150,72,3
151,72,1
152,73,2
153,73,1
154,74,2
155,74,3
156,75,2
157,75,5
158,75,1
159,76,1
160,76,2
161,76,3
162,77,5
163,77,2
164,79,1
165,79,3
166,80,1
167,80,2
168,80,3
169,83,5
170,83,2
171,83,3
172,84,5
173,90,3
174,90,2
175,90,1
176,90,5
177,91,5
178,91,2
179,92,5
180,92,1
181,93,3
182,93,2
183,94,2
184,94,3
185,94,1
186,94,5
187,95,3
188,95,2
189,95,1
190,95,5
191,96,3
192,97,5
193,97,3
194,98,5
195,98,3
196,100,5
197,100,3
