id,renta_id,mueble_id
1,1,5
2,1,4
3,2,5
4,2,2
5,3,9
6,3,5
7,3,3
8,3,1
9,3,2
10,4,1
11,4,7
12,4,4
13,4,3
14,4,8
15,5,1
16,5,6
17,5,5
18,5,9
19,6,8
20,7,8
21,7,6
22,7,5
23,7,9
24,8,5
25,8,2
26,8,7
27,8,1
28,8,3
29,9,6
30,9,4
31,9,5
32,11,6
33,12,2
34,12,6
35,13,1
36,14,7
37,14,4
38,14,3
39,16,2
40,16,1
41,16,8
42,16,7
43,17,4
44,17,2
45,18,9
46,19,5
47,19,6
48,20,6
49,20,9
50,20,2
51,20,3
52,20,8
53,20,5
54,20,4
55,20,7
56,20,1
57,22,5
58,22,3
59,22,2
60,22,7
61,22,8
62,22,9
63,23,3
64,23,5
65,24,9
66,24,1
67,24,2
68,26,7
69,27,9
70,27,2
71,27,6
72,27,3
73,27,4
74,27,1
75,27,5
76,28,1
77,28,7
78,28,5
79,28,3
80,28,9
81,28,4
82,28,6
83,28,2
84,28,8
85,29,2
86,29,7
87,29,8
88,30,2
89,30,3
90,31,9
91,31,4
92,31,8
93,31,1
94,33,3
95,33,2
96,33,8
97,33,5
98,33,4
99,33,9
100,33,6
101,33,7
102,33,1
103,34,8
104,34,4
105,34,6
106,34,3
107,34,9
108,34,7
109,34,5
110,34,2
111,35,7
112,35,5
113,35,4
114,35,1
115,35,6
116,35,3
117,36,5
118,36,2
119,36,4
120,36,8
121,36,3
122,36,7
123,36,9
124,37,7
125,38,1
126,38,5
127,38,3
128,39,8
129,39,7
130,39,4
131,39,3
132,40,1
133,40,5
134,41,6
135,41,1
136,41,9
137,41,4
138,41,7
139,41,8
140,41,2
141,41,3
142,42,5
143,43,3
144,43,1
145,43,6
146,44,8
147,44,9
148,44,3
149,44,2
150,45,5
151,45,7
152,45,9
153,45,8
154,45,6
155,45,4
156,46,7
157,46,5
158,46,1
159,46,8
160,46,6
161,46,3
162,46,2
163,46,9
164,46,4
165,47,2
166,48,5
167,48,1
168,48,3
169,48,7
170,48,8
171,48,9
172,49,6
173,49,5
174,49,1
175,49,4
176,49,7
177,49,9
178,50,8
179,50,6
180,50,5
181,51,3
182,51,7
183,51,8
184,51,9
185,52,3
186,53,1
187,53,7
188,53,3
189,53,9
190,53,2
191,53,5
192,53,6
193,53,8
194,53,4
195,54,1
196,54,3
197,55,1
198,55,2
199,55,5
200,55,6
201,55,8
202,55,9
203,56,5
204,56,7
205,56,8
206,56,9
207,56,2
208,56,3
209,56,6
210,56,4
211,57,7
212,57,3
213,57,5
214,57,2
215,57,9
216,57,4
217,59,5
218,59,8
219,59,9
220,59,2
221,59,3
222,59,4
223,59,6
224,59,7
225,59,1
226,60,3
227,60,6
228,60,4
229,60,8
230,60,1
231,60,2
232,60,7
233,60,9
234,60,5
235,61,4
236,61,2
237,61,8
238,61,3
239,61,1
240,61,7
241,61,9
242,61,6
243,61,5
244,62,2
245,63,6
246,63,1
247,63,9
248,65,5
249,65,6
250,65,8
251,65,1
252,66,1
253,66,4
254,66,7
255,66,2
256,66,3
257,66,8
258,67,7
259,67,9
260,67,4
261,67,5
262,67,6
263,67,8
264,67,2
265,68,6
266,68,8
267,68,3
268,68,7
269,68,5
270,68,2
271,68,1
272,70,4
273,70,6
274,71,8
275,71,5
276,71,3
277,71,6
278,71,7
279,71,9
280,71,4
281,71,1
282,71,2
283,72,8
284,72,1
285,72,2
286,72,5
287,73,5
288,73,4
289,73,3
290,73,2
291,73,8
292,73,9
293,73,1
294,73,6
295,74,5
296,74,7
297,74,8
298,75,7
299,75,8
300,75,2
301,76,5
302,76,4
303,76,8
304,76,1
305,76,7
306,76,2
307,77,5
308,77,9
309,77,1
310,77,7
311,77,3
312,77,2
313,77,6
314,78,9
315,78,1
316,80,2
317,80,3
318,80,4
319,80,9
320,80,7
321,81,1
322,83,6
323,83,2
324,83,9
325,83,7
326,83,8
327,83,1
328,83,5
329,83,3
330,84,2
331,84,3
332,84,7
333,84,8
334,84,4
335,85,6
336,85,7
337,85,1
338,85,8
339,85,5
340,85,9
341,85,2
342,85,4
343,86,4
344,86,1
345,87,7
346,87,1
347,87,2
348,87,3
349,88,3
350,88,7
351,88,8
352,88,5
353,89,7
354,89,8
355,89,4
356,89,2
357,89,1
358,90,8
359,90,2
360,90,4
361,90,1
362,90,3
363,90,6
364,90,7
365,91,3
366,91,8
367,91,6
368,91,9
369,91,4
370,91,1
371,91,5
372,92,2
373,93,9
374,93,2
375,93,7
376,93,6
377,93,8
378,93,1
379,93,4
380,94,7
381,94,2
382,96,2
383,96,6
384,96,5
385,96,7
386,97,8
387,97,3
388,99,7
389,99,1
390,99,6
391,99,2
392,99,4
393,99,3
394,99,5
395,99,9
