id,renta_id,fecha_inicio,fecha_fin,precio
1,1,2024-06-28,2024-12-07,20391
2,1,2024-12-08,2025-04-25,18376
3,1,2025-04-26,2025-08-26,18987
4,2,2022-12-05,2023-03-30,23471
5,3,2023-09-08,2024-02-28,7442
6,3,2024-02-29,2024-05-25,6092
7,3,2024-05-26,2024-11-01,5414
8,4,2023-11-11,2024-03-24,17269
9,4,2024-03-25,2024-09-05,21105
10,5,2024-08-01,2025-01-12,24438
11,6,2024-05-01,2024-08-15,14560
12,6,2024-08-16,2025-01-07,13444
13,7,2025-02-23,2025-07-04,20681
14,7,2025-07-05,2025-10-06,23354
15,7,2025-10-07,2026-01-17,19164
16,8,2023-02-27,2023-06-20,11554
17,9,2023-08-17,2024-02-04,9060
18,9,2024-02-05,2024-05-31,8862
19,10,2024-01-18,2024-04-24,18796
20,10,2024-04-25,2024-09-25,14569
21,10,2024-09-26,2025-01-22,14513
22,11,2025-07-09,2025-10-17,6555
23,12,2025-01-08,2025-06-01,9387
24,12,2025-06-02,2025-09-12,6713
25,12,2025-09-13,2026-03-11,4847
26,13,2025-09-12,2026-02-20,10119
27,14,2025-01-03,2025-04-19,20262
28,14,2025-04-20,2025-09-25,21300
29,15,2025-07-10,2025-10-13,19220
30,15,2025-10-14,2026-03-21,23728
31,16,2023-01-31,2023-06-19,22253
32,17,2025-03-28,2025-09-24,13524
33,17,2025-09-25,2025-12-26,10155
34,17,2025-12-27,2026-06-24,8337
35,18,2023-10-20,2024-04-12,27336
36,19,2023-05-27,2023-11-07,27188
37,19,2023-11-08,2024-01-07,31380
38,20,2025-03-22,2025-08-01,24545
39,21,2024-10-17,2025-04-07,17204
40,21,2025-04-08,2025-08-11,12991
41,21,2025-08-12,2026-01-27,10986
42,22,2025-09-26,2026-02-15,23294
43,23,2024-06-23,2024-11-07,23573
44,23,2024-11-08,2025-05-06,23324
45,23,2025-05-07,2025-08-20,27663
46,24,2025-09-19,2025-12-23,9021
47,24,2025-12-24,2026-05-29,8752
48,24,2026-05-30,2026-10-17,8158
49,25,2022-12-15,2023-03-30,6144
50,26,2024-02-14,2024-04-20,3980
51,26,2024-04-21,2024-09-26,3433
52,27,2023-03-25,2023-05-26,9566
53,28,2025-01-17,2025-05-26,10199
54,29,2023-07-30,2023-11-12,21137
55,30,2024-08-12,2025-01-13,20908
56,30,2025-01-14,2025-04-06,16364
57,31,2025-01-08,2025-03-19,21716
58,32,2024-11-22,2025-03-26,27939
59,32,2025-03-27,2025-09-07,26131
60,33,2023-10-04,2024-02-29,11715
61,33,2024-03-01,2024-07-05,12897
62,33,2024-07-06,2024-10-29,10953
63,34,2025-07-05,2025-11-20,12858
64,34,2025-11-21,2026-04-05,11307
65,35,2023-02-04,2023-07-31,5498
66,36,2024-07-28,2024-12-21,21228
67,36,2024-12-22,2025-03-13,19634
68,36,2025-03-14,2025-06-06,22995
69,37,2023-02-19,2023-07-21,9641
70,37,2023-07-22,2023-09-24,11752
71,37,2023-09-25,2024-03-18,12280
72,38,2023-12-16,2024-02-27,5960
73,38,2024-02-28,2024-05-28,4624
74,39,2025-02-13,2025-06-30,18476
75,39,2025-07-01,2025-11-04,12945
76,39,2025-11-05,2026-03-16,13855
77,40,2023-08-11,2023-12-18,6420
78,40,2023-12-19,2024-03-23,5405
79,41,2023-05-16,2023-10-17,21296
80,41,2023-10-18,2024-01-11,21181
81,42,2025-08-30,2026-01-19,17250
82,43,2025-08-23,2025-11-08,22175
83,44,2024-09-21,2025-03-17,20044
84,44,2025-03-18,2025-05-26,24931
85,45,2025-04-18,2025-07-29,4788
86,45,2025-07-30,2025-10-19,5740
87,46,2025-04-21,2025-08-22,18132
88,46,2025-08-23,2026-01-30,20933
89,46,2026-01-31,2026-04-26,20121
90,47,2025-04-30,2025-08-10,9003
91,47,2025-08-11,2026-01-26,9880
92,47,2026-01-27,2026-06-02,12701
93,48,2024-04-01,2024-09-25,16160
94,48,2024-09-26,2025-01-21,17785
95,49,2023-05-13,2023-10-11,13942
96,49,2023-10-12,2023-12-30,16614
97,49,2023-12-31,2024-06-24,16588
98,50,2023-12-02,2024-03-20,14016
99,50,2024-03-21,2024-07-08,17624
100,50,2024-07-09,2024-12-26,21761
101,51,2023-06-20,2023-09-26,7116
102,51,2023-09-27,2023-12-21,5881
103,52,2024-09-20,2025-01-03,25172
104,52,2025-01-04,2025-04-20,24361
105,52,2025-04-21,2025-10-10,19780
106,53,2022-11-14,2023-05-04,13963
107,53,2023-05-05,2023-10-15,17753
108,53,2023-10-16,2023-12-23,20650
109,54,2025-04-22,2025-09-17,26122
110,55,2024-06-24,2024-09-24,17586
111,55,2024-09-25,2025-01-09,18471
112,56,2023-05-02,2023-10-18,7460
113,56,2023-10-19,2024-04-14,6237
114,56,2024-04-15,2024-08-06,5819
115,57,2025-04-23,2025-08-23,23189
116,57,2025-08-24,2025-12-22,19962
117,58,2023-03-10,2023-09-04,9008
118,58,2023-09-05,2024-01-07,9967
119,59,2025-08-31,2026-01-27,16344
120,59,2026-01-28,2026-07-09,14631
121,60,2023-08-31,2023-12-04,21064
122,60,2023-12-05,2024-03-18,18075
123,61,2023-04-30,2023-09-19,8785
124,61,2023-09-20,2023-12-24,8383
125,62,2023-09-16,2023-12-18,16305
126,62,2023-12-19,2024-03-02,13941
127,62,2024-03-03,2024-05-29,14978
128,63,2023-10-21,2024-03-04,19108
129,64,2024-10-04,2025-02-05,17871
130,65,2023-08-25,2023-11-16,21849
131,65,2023-11-17,2024-01-22,27328
132,66,2024-12-28,2025-06-08,6919
133,66,2025-06-09,2025-11-01,7801
134,66,2025-11-02,2026-02-04,8192
135,67,2025-03-06,2025-06-20,6196
136,67,2025-06-21,2025-11-29,5851
137,68,2023-04-16,2023-09-15,14206
138,69,2022-11-19,2023-03-21,14542
139,70,2025-09-12,2026-02-01,15900
140,71,2024-10-27,2025-01-22,6460
141,71,2025-01-23,2025-07-07,5050
142,72,2023-08-19,2024-01-18,8368
143,73,2023-04-18,2023-10-02,13615
144,73,2023-10-03,2024-03-14,13652
145,74,2024-03-01,2024-06-23,7078
146,74,2024-06-24,2024-11-19,9185
147,75,2023-08-02,2023-10-10,10497
148,76,2024-07-08,2024-12-30,20712
149,76,2024-12-31,2025-06-11,20367
