id,renta_id,fecha_inicio,fecha_fin,precio
1,1,2023-01-13,2023-05-27,13301
2,2,2023-11-28,2024-02-12,21605
3,2,2024-02-13,2024-06-30,23627
4,2,2024-07-01,2024-09-10,22220
5,3,2025-02-19,2025-06-27,26345
6,4,2024-09-15,2025-02-07,7632
7,4,2025-02-08,2025-04-12,7111
8,5,2023-07-14,2024-01-10,7611
9,5,2024-01-11,2024-05-18,6267
10,6,2023-01-24,2023-03-29,10383
11,6,2023-03-30,2023-09-04,10251
12,6,2023-09-05,2024-01-11,8213
13,7,2025-02-16,2025-04-27,6250
14,8,2025-02-25,2025-05-08,19387
15,8,2025-05-09,2025-08-22,16834
16,9,2024-07-15,2024-10-29,6685
17,10,2024-02-23,2024-07-29,24045
18,10,2024-07-30,2024-12-03,18159
19,10,2024-12-04,2025-04-19,16486
20,11,2023-05-09,2023-11-02,20592
21,11,2023-11-03,2024-04-04,24588
22,12,2023-03-13,2023-05-17,9887
23,12,2023-05-18,2023-07-20,9123
24,13,2023-12-14,2024-03-05,18940
25,14,2023-09-12,2024-01-23,13908
26,14,2024-01-24,2024-05-25,12270
27,15,2025-06-26,2025-10-25,9743
28,15,2025-10-26,2026-03-05,8107
29,16,2024-02-16,2024-04-25,12465
30,17,2025-06-01,2025-10-15,11289
31,18,2024-04-14,2024-09-22,10627
32,18,2024-09-23,2025-02-20,10689
33,18,2025-02-21,2025-05-18,10728
34,19,2024-11-23,2025-03-14,25157
35,20,2023-11-15,2024-04-03,17099
36,20,2024-04-04,2024-08-31,13748
37,20,2024-09-01,2024-12-09,12268
38,21,2024-11-09,2025-02-17,25353
39,22,2024-02-15,2024-08-06,20554
40,22,2024-08-07,2024-11-21,14892
41,22,2024-11-22,2025-05-07,11999
42,23,2023-03-25,2023-08-10,6378
43,23,2023-08-11,2024-01-17,6326
44,24,2023-08-26,2024-01-16,17148
45,25,2024-03-20,2024-07-15,6190
46,26,2024-05-28,2024-09-25,4905
47,26,2024-09-26,2025-01-19,4724
48,26,2025-01-20,2025-03-30,3941
49,27,2024-01-04,2024-03-25,25999
50,27,2024-03-26,2024-06-10,28742
51,28,2023-12-21,2024-06-06,18605
52,29,2024-07-07,2024-12-29,17295
53,30,2024-11-29,2025-02-23,15323
54,31,2025-04-12,2025-09-14,8398
55,31,2025-09-15,2026-03-11,6440
56,31,2026-03-12,2026-08-03,5465
57,32,2024-11-18,2025-04-21,6029
58,32,2025-04-22,2025-06-27,7557
59,33,2024-07-24,2025-01-09,18900
60,34,2024-10-16,2025-03-23,6238
61,34,2025-03-24,2025-07-15,7331
62,34,2025-07-16,2025-10-17,8960
63,35,2025-03-02,2025-05-19,8589
64,35,2025-05-20,2025-08-06,6165
65,36,2025-03-30,2025-07-19,9069
66,37,2025-02-10,2025-08-02,25750
67,38,2025-08-09,2026-01-02,17536
68,38,2026-01-03,2026-05-04,19000
69,38,2026-05-05,2026-09-02,23056
70,39,2025-06-14,2025-09-14,25656
71,39,2025-09-15,2026-03-05,27246
72,39,2026-03-06,2026-08-25,22889
73,40,2025-03-17,2025-08-02,16193
74,40,2025-08-03,2025-12-18,12614
75,40,2025-12-19,2026-05-06,13601
76,41,2023-08-03,2023-11-03,19036
77,41,2023-11-04,2024-03-27,19666
78,42,2023-11-02,2024-04-06,12280
79,42,2024-04-07,2024-07-23,11421
80,43,2025-05-09,2025-07-13,23296
81,43,2025-07-14,2025-11-24,25429
82,44,2023-04-17,2023-08-25,25119
83,45,2024-02-09,2024-04-28,29478
84,45,2024-04-29,2024-10-18,21342
85,46,2025-06-24,2025-09-26,11520
86,46,2025-09-27,2026-01-01,12611
87,46,2026-01-02,2026-06-18,13067
88,47,2025-09-18,2025-12-10,9590
89,48,2022-11-13,2023-02-16,24306
90,48,2023-02-17,2023-07-22,18954
91,49,2025-01-16,2025-07-05,18679
92,50,2024-02-19,2024-07-14,5279
93,51,2024-08-01,2024-10-11,8241
94,51,2024-10-12,2025-02-05,7732
95,52,2023-01-12,2023-04-23,19659
96,52,2023-04-24,2023-09-03,17638
97,52,2023-09-04,2023-11-18,19490
98,53,2024-04-04,2024-08-26,8192
99,53,2024-08-27,2024-12-12,8347
100,53,2024-12-13,2025-02-22,10785
101,54,2024-05-18,2024-10-11,6607
102,55,2024-12-04,2025-03-06,5540
103,55,2025-03-07,2025-07-19,3965
