id,renta_id,servicio_id
1,2,5
2,3,2
3,3,1
4,3,5
5,3,3
6,4,5
7,4,1
8,5,1
9,6,1
10,6,5
11,7,2
12,7,1
13,7,5
14,8,3
15,8,5
16,9,3
17,9,5
18,10,1
19,11,5
20,12,5
21,12,1
22,12,3
23,12,2
24,14,3
25,14,5
26,14,2
27,14,1
28,16,2
29,16,5
30,17,5
31,17,3
32,17,2
33,17,1
34,18,3
35,18,2
36,18,1
37,18,5
38,20,2
39,20,3
40,20,1
41,20,5
42,21,2
43,21,3
44,21,1
45,22,2
46,22,1
47,22,5
48,22,3
49,24,1
50,24,2
51,25,2
52,25,5
53,25,1
54,25,3
55,27,3
56,27,5
57,28,3
58,28,2
59,28,5
60,29,3
61,29,2
62,30,5
63,31,1
64,31,5
65,31,2
66,31,3
67,32,2
68,32,5
69,32,1
70,33,3
71,33,5
72,33,2
73,34,2
74,34,3
75,35,1
76,35,3
77,36,5
78,36,2
79,40,5
80,40,2
81,41,3
82,41,2
83,41,1
84,41,5
85,42,5
86,42,2
87,42,3
88,42,1
89,44,1
90,45,5
91,47,5
92,47,1
93,47,3
94,48,5
95,49,2
96,49,5
97,49,1
98,49,3
99,50,2
100,50,5
101,50,3
102,51,3
103,51,2
104,53,2
105,53,5
106,53,1
107,53,3
108,54,1
109,54,2
110,55,1
111,55,5
112,55,2
113,56,5
114,56,1
115,57,3
116,57,1
117,58,1
118,58,2
119,58,3
120,60,5
121,60,1
122,63,3
123,65,3
124,65,5
125,65,2
126,65,1
127,66,3
128,66,1
129,66,2
130,66,5
131,68,2
132,68,1
133,68,3
134,68,5
135,70,5
136,70,1
137,71,5
138,72,3
139,74,5
140,74,3
141,75,5
142,75,3
143,75,1
144,75,2
145,76,5
146,76,3
147,76,1
148,76,2
149,77,2
150,77,5
151,77,3
152,77,1
153,78,5
154,78,1
155,78,2
156,78,3
157,79,3
158,79,1
159,79,5
160,79,2
161,80,3
162,80,5
163,80,2
164,81,5
165,81,2
166,81,3
167,81,1
168,82,5
169,82,1
170,82,3
171,83,3
172,83,5
173,83,1
174,84,1
175,84,3
176,84,2
177,85,3
178,85,2
179,85,5
180,85,1
181,86,5
182,86,1
183,86,2
184,87,5
185,88,2
186,90,2
187,91,1
188,91,3
189,92,1
190,92,5
191,93,2
192,93,5
193,93,3
194,93,1
195,94,1
196,94,3
197,94,2
198,95,1
199,96,5
200,98,2
201,98,1
202,99,1
203,99,3
204,100,1
205,100,2
206,100,3
207,100,5
208,101,3
209,101,5
210,101,2
211,102,2
212,102,3
213,102,5
214,102,1
215,103,2
216,104,3
217,104,5
218,106,1
219,106,3
220,106,5
